ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.064272285,0.03128721,0.06948928,0.091158696,0.41130465,0.10752183,0.022073265,0.6530897,0.07974045,0.08010451,0.021979071,0.020794062,0.050844967,0.06850834,0.056469116,0.048276335,0.00032345532,0.26971906,0.034778904,0.012505525,0.02818589,0.12667754,0.031941265,0.031447716
4,0.24165379,0.037655883,0.038089573,0.07322453,0.14863947,0.340879,0.010639629,0.82799876,0.029340388,0.036553938,0.01789029,0.030507378,0.09116091,0.034483895,0.012313387,0.121720575,0.0013415784,0.036527466,0.047675226,0.024504457,0.01803387,0.47868496,0.11619498,0.026013333
5,0.08667111,0.00796033,0.008401903,0.021544298,0.16426596,0.6826331,0.0006320727,0.8801541,0.0068154866,0.019114908,0.029645748,0.005225078,0.07512805,0.0027398719,0.0034703838,0.2356465,1.0332743e-06,0.091042615,0.00954636,0.00043730938,0.0016638505,0.608417,0.016188605,0.019876445
6,0.15979579,0.06146633,0.08712362,0.0100141615,0.23411423,0.13151094,0.0019216532,0.4098802,0.0711142,0.12497005,0.008299036,0.006565198,0.1775546,0.004398467,0.0123041365,0.1232459,3.238509e-05,0.05442076,0.24985397,0.0024415548,0.007768266,0.35719657,0.016256005,0.017774511
7,0.28718722,0.2446326,0.33945805,0.013652867,0.11856206,0.03322568,0.011543988,0.14501777,0.15227976,0.3520532,0.0078110723,0.0129182115,0.7454925,0.011424088,0.025799392,0.1807385,0.00012873174,0.031983458,0.77405196,0.00747765,0.0008180131,0.4033609,0.014789019,0.03955307
9,0.12612803,0.100465596,0.13802673,0.107135504,0.19783114,0.09166929,0.034159485,0.8484612,0.0715621,0.059531547,0.020783398,0.08157209,0.032487325,0.05649683,0.03511817,0.021440603,0.00094650924,0.15974145,0.026101733,0.050891586,0.011118306,0.14934954,0.3190581,0.13448162
11,0.05546187,0.06620617,0.15014169,0.06896128,0.33816332,0.03664447,0.41161215,0.24895462,0.16479102,0.10996704,0.0010508782,0.03519158,0.043360826,0.09380946,0.014140396,0.022302473,6.674408e-05,0.041644454,0.06736953,0.0065774345,0.009408652,0.038217876,0.020974385,0.032923333
13,0.31619677,0.051742334,0.042443592,0.01827284,0.5728468,0.32940364,0.0004927593,0.69122106,0.0445786,0.06838733,0.025906729,0.0065650702,0.01865156,0.007361473,0.034427445,0.051099956,4.603999e-05,0.32319975,0.01279438,0.0035111532,0.0024913363,0.26960877,0.017354852,0.023835605
16,0.012061562,0.031016389,0.051915675,0.13413934,0.18152358,0.03598879,0.025608173,0.8915934,0.05879629,0.08387855,0.01356959,0.032116976,0.042391345,0.062037498,0.048855096,0.045731764,0.00055137184,0.46278924,0.0114579955,0.009083814,0.036620118,0.07702829,0.06733382,0.03237525
21,0.108351104,0.099638715,0.15882087,0.029078389,0.5854393,0.08236946,0.021591684,0.5997889,0.12221366,0.086265914,0.007421313,0.016694283,0.019678382,0.054092076,0.095855735,0.017319838,0.00047056488,0.22868231,0.021761052,0.030177861,0.014958598,0.07110228,0.035367854,0.079818815
22,0.16073123,0.14216906,0.42748478,0.011203924,0.4001028,0.029482506,0.0015159893,0.24590813,0.22663404,0.4382475,0.0064254995,0.0077974508,0.36176124,0.007100828,0.068398975,0.05399519,1.9451581e-05,0.089870356,0.191196,0.0034731473,0.002163279,0.18148084,0.008712962,0.0485475
24,0.13307585,0.008244633,0.020536209,0.009848652,0.55560845,0.58326066,0.00020903868,0.7438716,0.0219281,0.028559871,0.03777162,0.0021403346,0.054398473,0.004905545,0.030882325,0.26856798,9.080511e-06,0.20929049,0.0063094245,0.0013867446,0.006478232,0.65987927,0.00484863,0.009179923
25,0.25771925,0.10127844,0.07775845,0.055673562,0.09742429,0.15387753,0.002654082,0.74967647,0.04858547,0.12415152,0.0131620355,0.041022807,0.05583411,0.004752964,0.0069321254,0.079011515,5.048429e-05,0.10049784,0.03540916,0.004166031,0.010221407,0.4388801,0.08629161,0.23862265
32,0.044704203,0.029399432,0.08938252,0.04187931,0.52946186,0.068233825,0.012633791,0.6278469,0.10588845,0.12952553,0.014636926,0.009907097,0.046362527,0.04158789,0.11123062,0.0451503,0.0004223134,0.28913358,0.015720213,0.018738642,0.023311779,0.10114774,0.019027486,0.03210718
38,0.010240899,0.005641842,0.032840643,0.034647956,0.620684,0.12892707,0.003487595,0.7308923,0.031971008,0.03829412,0.012448757,0.0029333348,0.09597164,0.030172607,0.038441084,0.059962112,6.124703e-05,0.5269865,0.0046200594,0.0062486306,0.008328868,0.10188332,0.0073029334,0.012402759
40,0.43551186,0.121044464,0.045605596,0.05517584,0.3573735,0.571291,0.007516815,0.63786197,0.045357876,0.078203544,0.037609585,0.025102204,0.03416445,0.011816472,0.037398368,0.111708075,0.00068501005,0.11878037,0.023511807,0.03296692,0.011338931,0.405797,0.12338048,0.03628514
54,0.13595094,0.21937613,0.71995515,0.009876874,0.88581693,0.032126687,0.0067769852,0.053963445,0.7518064,0.6855107,0.0048714727,0.00407968,0.53287613,0.06026412,0.18850845,0.028897991,0.000175728,0.042510297,0.40135834,0.022293765,0.025935153,0.06789012,0.0012374193,0.050259583
55,0.05342668,0.07471639,0.18494163,0.044031482,0.23257598,0.035792764,0.018093014,0.5417044,0.112193115,0.14773673,0.0040551466,0.017386073,0.30330136,0.036618825,0.021220703,0.06692759,0.00014414216,0.053274445,0.15757816,0.010064248,0.01790833,0.1740269,0.022949697,0.04442378
60,0.10458989,0.22287016,0.34406745,0.012784848,0.41360322,0.013852428,0.003631381,0.47175202,0.27800494,0.24669321,0.0031281242,0.005466637,0.13749354,0.012293616,0.078306645,0.027107906,5.6090048e-05,0.12997031,0.20674077,0.0073898584,0.009179788,0.10214725,0.012170869,0.026918368
64,0.039131325,0.005572253,0.036286086,0.018155389,0.5209569,0.085958675,0.0017719006,0.5850904,0.020988518,0.045024294,0.014356147,0.0023567695,0.05068749,0.017236458,0.026247969,0.04288239,7.542513e-06,0.36368573,0.01792484,0.001362808,0.0018642225,0.25582275,0.009948693,0.008242106
72,0.009375197,0.0068157413,0.019159866,0.18803382,0.47126657,0.07001018,0.05600398,0.84728795,0.034919973,0.020222403,0.018690536,0.022110056,0.020579819,0.114803955,0.044867422,0.03296822,0.00036087877,0.38127798,0.005051783,0.015868742,0.042354528,0.061372202,0.024302626,0.02727
74,0.034316935,0.010143426,0.05703278,0.024097085,0.23396957,0.029833905,0.0025047946,0.79882675,0.02439228,0.07706764,0.0070377328,0.0068037477,0.16154467,0.0075070523,0.014382796,0.09877301,7.858858e-06,0.21064173,0.031533662,0.001000036,0.0009489911,0.2292562,0.020033268,0.019086875
77,0.11122773,0.011257897,0.0077976207,0.029778231,0.23879685,0.2889231,0.004647015,0.8370222,0.012764769,0.034412205,0.012833303,0.006299733,0.10948841,0.014442761,0.006482085,0.05643836,0.00010057005,0.047927115,0.01113627,0.0031260771,0.0026349162,0.44074962,0.03069756,0.011210703
78,0.12060373,0.031849194,0.044015903,0.016972434,0.33467188,0.1589029,0.0016791136,0.76708746,0.04877301,0.045051716,0.0044571077,0.005146413,0.0214557,0.013103131,0.022490615,0.03412343,1.3582684e-05,0.16749074,0.012695019,0.0024683776,0.0036459125,0.20514381,0.025650892,0.04650289
89,0.17033319,0.2647336,0.19607975,0.052956693,0.21298829,0.04773698,0.0006861071,0.665374,0.13652797,0.16038074,0.0051557277,0.067356385,0.022249652,0.009330165,0.021280857,0.043520343,1.4304781e-05,0.27185884,0.037726767,0.0027398148,0.009527408,0.12523203,0.17225224,0.14796317
94,0.012978782,0.02367978,0.033858195,0.12000221,0.3657807,0.017177755,0.004704428,0.8708966,0.025504163,0.063749544,0.01384583,0.02939433,0.040500212,0.061168168,0.093111224,0.050416946,2.128182e-05,0.70719635,0.020078147,0.00472088,0.0073841517,0.07252125,0.16250217,0.014441531
97,0.1866645,0.108219326,0.19174752,0.013529895,0.27753028,0.060880892,0.001522665,0.40187415,0.22518542,0.2853717,0.0022950615,0.0070333015,0.5158888,0.0029483626,0.008432184,0.06695818,1.4213577e-05,0.025455695,0.14631295,0.0033830004,0.008100494,0.27327597,0.006755569,0.058169376
98,0.04545052,0.027408846,0.061646357,0.10781174,0.4766787,0.086767204,0.051862147,0.68928343,0.07336842,0.053371858,0.012797879,0.021176567,0.038124137,0.0472142,0.07298566,0.024373943,0.0003843857,0.18400772,0.011291054,0.024367018,0.079363406,0.09615013,0.030812703,0.055019032
105,0.4228357,0.22631304,0.24783482,0.027350182,0.26321125,0.083742276,0.0053490144,0.48347974,0.17466994,0.16971672,0.007968722,0.019561807,0.048889246,0.01372685,0.03741813,0.05042227,2.1443824e-05,0.0614618,0.1953792,0.0024645305,0.0061990772,0.27686444,0.04438094,0.041920822
115,0.10068378,0.0629732,0.124096565,0.042462893,0.32604945,0.044422828,0.0066888197,0.685312,0.09281237,0.15854135,0.008305722,0.03599683,0.12441884,0.03290263,0.070550576,0.055778876,0.00051249115,0.40337202,0.044667996,0.009120926,0.014976609,0.1299263,0.057078395,0.08113233
116,0.17431946,0.121582754,0.046711557,0.023844967,0.33610353,0.068031795,0.0025727127,0.52676374,0.07512929,0.06539756,0.0043224795,0.009807641,0.06997223,0.008781375,0.014927188,0.0673238,3.2979842e-05,0.09274273,0.14556858,0.0028142252,0.005055015,0.26026997,0.025578054,0.028740192
117,0.61159897,0.27748534,0.32574472,0.021266991,0.23942406,0.066652544,0.008855513,0.14773464,0.23281448,0.2217961,0.0035288434,0.014693276,0.1744617,0.013922705,0.008239297,0.052262545,2.4579693e-05,0.01105275,0.721328,0.004696085,0.0025688063,0.42494744,0.021496505,0.05861536
125,0.13854846,0.0670225,0.040604874,0.0642669,0.13110977,0.12666498,0.021980472,0.66036874,0.06529735,0.10300029,0.010084963,0.04291838,0.082296535,0.020777434,0.023233173,0.058417294,0.00019491125,0.17792772,0.019108005,0.018354813,0.013842152,0.18451244,0.1832319,0.074050725
126,0.76903355,0.17995617,0.058225874,0.010930991,0.14555325,0.60982573,0.002251466,0.5575437,0.039802175,0.099316634,0.033135112,0.02617513,0.1144841,0.0046711755,0.025306314,0.07513712,9.9603145e-05,0.030396052,0.078558356,0.007267183,0.0017272071,0.7611117,0.056623098,0.16175298
130,0.1324115,0.102343515,0.14643721,0.05437912,0.25802517,0.052820724,0.02554215,0.6078341,0.099733874,0.13056955,0.0073202145,0.02354477,0.115547344,0.017800806,0.020617759,0.08837707,0.00027215693,0.09930222,0.13973162,0.012227658,0.0077193337,0.19182989,0.035237692,0.08713859
133,0.21353817,0.06319384,0.038342945,0.0208528,0.15080862,0.15102677,0.0043258173,0.60243726,0.030151825,0.07533265,0.017624563,0.0141540235,0.18981658,0.012240728,0.021812709,0.14261045,0.0002546867,0.14696774,0.08535481,0.01173065,0.011225613,0.4374391,0.039958768,0.10519274
137,0.10097397,0.11463918,0.1546435,0.064725496,0.2747097,0.08605141,0.0025078917,0.60632867,0.13278757,0.12124256,0.0062956335,0.023552999,0.06524292,0.018714065,0.027288219,0.062262516,7.772607e-05,0.09253938,0.03949662,0.00744283,0.019004941,0.19553167,0.040839404,0.058601324
138,0.45734277,0.04111048,0.032234102,0.029628262,0.12155805,0.7888376,0.005138214,0.63306546,0.017166248,0.06922152,0.052276306,0.015413505,0.12775859,0.003493813,0.0093905935,0.30456343,7.6937984e-05,0.022692608,0.10505227,0.0040686056,0.0024716142,0.7329814,0.027378667,0.06415984
140,0.07056624,0.21180251,0.17594187,0.042890567,0.53360975,0.024906365,0.007696587,0.4428394,0.207118,0.15087488,0.004530051,0.019775476,0.06316356,0.04586282,0.069124945,0.041480485,0.00015959507,0.22227482,0.098488584,0.011886044,0.021392228,0.07455558,0.038742416,0.069125324
141,0.35777494,0.07933485,0.04008377,0.024578191,0.28763297,0.21842305,0.0037507194,0.5277575,0.039514314,0.10909887,0.012313265,0.011502042,0.04463615,0.014479628,0.019882215,0.04849037,1.6492342e-05,0.083580405,0.034299728,0.0036275112,0.004070219,0.39307076,0.053045165,0.054796237
145,0.069053695,0.07413696,0.1264544,0.040298875,0.21823275,0.0257793,0.0231194,0.55930907,0.09223141,0.13255394,0.00393369,0.019693669,0.105306126,0.05831733,0.04935883,0.02823492,7.6291835e-05,0.11786774,0.17554954,0.0041110367,0.009769095,0.1012882,0.023651518,0.043906424
147,0.0049049337,0.009258967,0.021829864,0.08655835,0.5221314,0.014292523,0.02826469,0.7955537,0.037525587,0.019782307,0.008418835,0.023138106,0.018986868,0.06792986,0.03246436,0.044432405,0.00021556288,0.40553734,0.0055542663,0.011028242,0.0123996055,0.05536462,0.071041405,0.030684134
148,0.011040221,0.023630587,0.087490305,0.028432608,0.92311126,0.035854917,0.0028846215,0.44581488,0.23837863,0.08060593,0.009947702,0.005547167,0.023452679,0.031177273,0.06222207,0.016778639,0.00023255686,0.51410574,0.00301504,0.006209364,0.04841603,0.026021456,0.008295662,0.09190434
153,0.08765404,0.14197353,0.15142936,0.11514707,0.30655876,0.055471774,0.049473815,0.7039148,0.16979152,0.14343321,0.02414149,0.06254588,0.11599886,0.063721925,0.055520613,0.061636496,0.0155659765,0.114824034,0.053705648,0.08835468,0.048723172,0.120653324,0.100178815,0.0820175
154,0.11455901,0.05553347,0.08484791,0.029606147,0.38896567,0.08886613,0.0028633603,0.52991277,0.047235087,0.1629907,0.019338045,0.009997714,0.21058631,0.013637029,0.050177377,0.07397072,0.00011541398,0.19051139,0.055776756,0.0065435567,0.008099514,0.2468259,0.019851644,0.022172522
155,0.023906967,0.010818424,0.017201576,0.16141967,0.21002214,0.075370245,0.16165929,0.8026853,0.012041447,0.028787447,0.007254803,0.055960435,0.10084952,0.12773037,0.021457912,0.038612828,0.00036335585,0.20972137,0.017160038,0.033946928,0.012617468,0.13434842,0.2661424,0.10257403
158,0.43548846,0.29662412,0.21054582,0.024948802,0.2464265,0.08742148,0.0018006553,0.36058468,0.18119243,0.1690259,0.013612036,0.019077482,0.10922988,0.0063538663,0.013785709,0.050361227,4.1584284e-05,0.054829698,0.33262163,0.0076547433,0.009591312,0.35485274,0.051097233,0.12653781
